typecode,status,train_flights,openap_2_6_2,ps_model,bada3,bada4,anp,apd_performance_similarity,emissions_databank_engine,notes,segment,openap_2_4,anp_official_substitute,apd_listed,apd_vat_ias_kt,engine_designations,engine_designation_source,faa_acd_model_bada
C680,no_dynamics(A320 fallback),120,none,none,yes:3.8-synonym:F2TH,unknown,native:CNA680,No data,,ANP native = reading of ANP description,business_jet,none,CNA680,yes,125,PW306C|PW306D,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Cessna Citation Sovereign
LJ45,openap_2_4_synonym,113,synonym:GLF6,none,yes:3.8-model,unknown,substitute:LEAR35,No data,,OpenAP drag-polar synonym LJ45->GLF6,business_jet,synonym:GLF6,LEAR35,yes,140,TFE731-20|TFE731-20AR(-1B)|TFE731-20BR-1B|TFE731-20R(-1B)|TFE731-40BR-1B,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Learjet 45
C560,no_dynamics(A320 fallback),107,none,none,yes:3.8-model,unknown,native:CNA560E|CNA560U,No data,1PW037,ANP native = reading of ANP description,business_jet,none,CNA560E|CNA560U,yes,110,JT15D-5A|JT15D-5D|PW535A|PW535B,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Cessna Citation V
BE20,no_dynamics(A320 fallback),100,none,none,yes:3.8-model,unknown,none,No data,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,100,,,Beechcraft Super King Air B200
GA6C,no_dynamics(A320 fallback),89,none,none,unknown,unknown,none,not in APD (page returns 'No'),,,business_jet,none,,no,,,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Gulfstream G600 (G-7)
GL7T,no_dynamics(A320 fallback),88,none,none,unknown,unknown,none,not in APD (page returns 'No'),,,business_jet,none,,no,,,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Bombardier Global 7500
GL5T,openap_2_4_synonym,82,synonym:GLF6,none,yes:3.8-synonym:C750,unknown,substitute:GV,No data,01P04BR013,OpenAP drag-polar synonym GL5T->GLF6,business_jet,synonym:GLF6,GV,yes,122,BR700-710A2-20,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Bombardier Global 5000
F2TH,no_dynamics(A320 fallback),80,none,none,yes:3.8-model,unknown,substitute:CL600|CL601,No data,7PW080,,business_jet,none,CL600|CL601,yes,110,CFE738-1-1B|PW308C,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Dassault Falcon 2000EX
BE36,no_dynamics(A320 fallback),77,none,none,yes:3.8-synonym:DA42,unknown,none,No data,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,70,,,Beechcraft Bonanza G36
CRJ2,openap_2_4_synonym,75,synonym:E145,none,yes:3.8-model,unknown,substitute:CL601,No data,01P05GE189,OpenAP drag-polar synonym CRJ2->E75L,airliner,synonym:E145,CL601,yes,140,CF34-3B1,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Canadair CRJ-200
C25M,no_dynamics(A320 fallback),73,none,none,unknown,unknown,none,No data,,,business_jet,none,,yes,105,FJ44-1AP-21,EUROCONTROL APD power plant,Cessna 525 Citation M2
SF50,no_dynamics(A320 fallback),69,none,none,unknown,unknown,none,not in APD (page returns 'No'),,,business_jet,none,,no,,,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Cirrus SF50 Vision
PC24,openap_2_4_synonym,68,synonym:C550,none,unknown,unknown,none,not in APD (page returns 'No'),,OpenAP drag-polar synonym PC24->GLF6,business_jet,synonym:C550,,no,,,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Pilatus PC-24
DA40,no_dynamics(A320 fallback),64,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Diamond DA40 NG
BE58,no_dynamics(A320 fallback),63,none,none,yes:3.8-model,unknown,native:BEC58P,,,ANP native = reading of ANP description,piston_ga,none,,yes,,,,Beechcraft Baron 58
BE40,no_dynamics(A320 fallback),62,none,none,yes:3.8-synonym:C560,unknown,substitute:MU3001,No data,1PW037,,business_jet,none,MU3001,yes,120,FJ44-3AP|JT15D-5|JT15D-5R,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Hawker 400XP
C25A,openap_2_4_synonym,61,synonym:C550,none,yes:3.8-synonym:C560,unknown,substitute:CNA525C,No data,,OpenAP drag-polar synonym C25A->C550,business_jet,synonym:C550,CNA525C,yes,110,FJ44-2C|FJ44-3A-24,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Cessna Citation CJ2+
C408,no_dynamics(A320 fallback),60,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,no,,,,
LJ60,no_dynamics(A320 fallback),59,none,none,yes:3.8-synonym:LJ45,unknown,substitute:CNA560XL,No data,,,business_jet,none,CNA560XL,yes,140,PW305A,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Learjet 60XR
E550,no_dynamics(A320 fallback),52,none,none,unknown,unknown,none,,,,business_jet,none,,no,,,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Embraer EMB-550 Legacy 500
F900,no_dynamics(A320 fallback),52,none,none,yes:3.8-model,unknown,substitute:EMB14L,No data,,,business_jet,none,EMB14L,yes,110,TFE731-5AR(-1C)|TFE731-5BR(-1C)|TFE731-60(-1C),"ANP substitution table, by aircraft configuration (EASA TCDSN)",Dassault Falcon 900EX
C25C,no_dynamics(A320 fallback),51,none,none,unknown,unknown,native:CNA525C,No data,,ANP native = reading of ANP description,business_jet,none,,yes,110,FJ44-4A,EUROCONTROL APD power plant,Cessna Citation CJ4
TBM9,no_dynamics(A320 fallback),47,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,no,,,,Socata TBM-930
C525,openap_2_4_synonym,47,synonym:C550,none,yes:3.8-synonym:C550,unknown,substitute:CNA525C,No data,,OpenAP drag-polar synonym C525->C550,business_jet,synonym:C550,CNA525C,yes,110,FJ44-1A|FJ44-1AP|FJ44-4A,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Cessna Citation CJ1+
GALX,no_dynamics(A320 fallback),45,none,none,yes:3.8-synonym:F2TH,unknown,substitute:EMB145,No data,7PW077,,business_jet,none,EMB145,yes,130,PW306A,"ANP substitution table, by aircraft configuration (EASA TCDSN)",IAI 1126 Galaxy
P28R,no_dynamics(A320 fallback),43,none,none,yes:3.8-synonym:DA42,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Piper PA-28R-201
BE9L,no_dynamics(A320 fallback),43,none,none,yes:3.8-model,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,,,,Beechcraft King Air E90
BE35,no_dynamics(A320 fallback),40,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Beech 35 Bonanza
GA7C,no_dynamics(A320 fallback),40,none,none,unknown,unknown,none,,,,business_jet,none,,no,,,"ANP substitution table, by aircraft configuration (EASA TCDSN)",
C82T,no_dynamics(A320 fallback),39,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
P180,no_dynamics(A320 fallback),39,none,none,yes:3.8-synonym:C550,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,,,,Piaggio P.180 Avanti II
PA38,no_dynamics(A320 fallback),38,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Piper PA-38 Tomahawk
AT43,no_dynamics(A320 fallback),37,none,none,yes:3.8-model,unknown,substitute:DHC8,,,,airliner,none,DHC8,yes,,,,ATR 42-300
T210,no_dynamics(A320 fallback),35,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Cessna T210M
HDJT,no_dynamics(A320 fallback),34,none,none,unknown,unknown,substitute:CNA55B,No data,,,business_jet,none,CNA55B,yes,112,HF 120-H1A,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Honda HA-420 HondaJet
PRM1,no_dynamics(A320 fallback),34,none,none,yes:3.8-synonym:C560,unknown,substitute:CNA55B,No data,,,business_jet,none,CNA55B,yes,95,FJ44-2A,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Hawker Beechcraft Premier IA
GA5C,no_dynamics(A320 fallback),32,none,none,unknown,unknown,none,,,,business_jet,none,,no,,,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Gulfstream G500 (G-7)
M20P,no_dynamics(A320 fallback),30,none,none,yes:3.8-synonym:TRIN,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Mooney M20R Ovation 2 GX
P46T,no_dynamics(A320 fallback),28,none,none,yes:3.8-synonym:BE9L,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,,,,Piper PA-46-500TP
C510,no_dynamics(A320 fallback),26,none,none,yes:3.8-model,unknown,native:CNA510,,,ANP native = reading of ANP description,business_jet,none,CNA510,no,,PW615F-A,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Cessna Citation Mustang
C425,no_dynamics(A320 fallback),26,none,none,yes:3.8-synonym:PAY2,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,,,,Cessna 425 Corsair
FA7X,no_dynamics(A320 fallback),26,none,none,yes:3.8-model,unknown,substitute:CRJ9-ER,No data,03P15PW193 03P16PW192,,business_jet,none,CRJ9-ER,yes,104,PW307A|PW307D,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Dassault Falcon 7X
GA8C,no_dynamics(A320 fallback),25,none,none,unknown,unknown,none,,,,business_jet,none,,no,,,"ANP substitution table, by aircraft configuration (EASA TCDSN)",
C650,no_dynamics(A320 fallback),24,none,none,yes:3.8-synonym:H25A,unknown,native:CIT3,No data,,ANP native = reading of ANP description,business_jet,none,CIT3,yes,130,TFE731-3B-100S|TFE731-3BR-100S|TFE731-3C-100S|TFE731-3CR-100S|TFE731-4R-()|TFE731-4R-2S,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Cessna Citation VII
EPIC,no_dynamics(A320 fallback),24,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,no,,,,
FA50,no_dynamics(A320 fallback),24,none,none,yes:3.8-model,unknown,substitute:FAL20,No data,1AS002,,business_jet,none,FAL20,yes,130,TFE731-3(-1C)|TFE731-3D-1C|TFE731-4-1C|TFE731-40(-1C),"ANP substitution table, by aircraft configuration (EASA TCDSN)",Dassault Falcon 50EX
P32R,no_dynamics(A320 fallback),24,none,none,yes:3.8-synonym:TRIN,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Piper PA-32R-301T Turbo Sarato
BE30,no_dynamics(A320 fallback),23,none,none,yes:3.8-synonym:PAY3,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,no,,,,Beech Super King Air 300
E50P,no_dynamics(A320 fallback),21,none,none,yes:3.8-synonym:C550,unknown,substitute:CNA510,No data,,,business_jet,none,CNA510,yes,120,PW617F-E|PW617F-E/1,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Embraer EMB-500 Phenom 100
BE95,no_dynamics(A320 fallback),21,none,none,yes:3.8-synonym:TRIN,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Beech 95 Travel Air
LJ31,no_dynamics(A320 fallback),19,none,none,yes:3.8-synonym:LJ45,unknown,substitute:LEAR35,No data,,,business_jet,none,LEAR35,yes,120,TFE731-2-3B,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Learjet 31
C150,no_dynamics(A320 fallback),18,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Cessna 150
BT36,no_dynamics(A320 fallback),17,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Beech Bonanza B36TC
A30B,no_dynamics(A320 fallback),17,none,native,yes:3.8-model,unknown,native:A300B4-203,No data,1GE006 1GE008 1PW033 3GE070 3GE072 3GE074,ANP native = reading of ANP description,airliner,none,A300B4-203,yes,141,CF6-50C|CF6-50C2|CF6-50C2R|JT9D-59A,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Airbus A300B4-203
E35L,no_dynamics(A320 fallback),17,none,none,unknown,unknown,none,,,,business_jet,none,,no,,,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Embraer EMB-135BJ Legacy 600
C182,no_dynamics(A320 fallback),16,none,none,yes:3.8-synonym:TRIN,unknown,native:CNA182,,,ANP native = reading of ANP description,piston_ga,none,,yes,,,,Cessna 182T Skylane
DA42,no_dynamics(A320 fallback),16,none,none,yes:3.8-model,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Diamond DA42 Twin Star
PA46,no_dynamics(A320 fallback),15,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Piper PA-46-350P
G150,no_dynamics(A320 fallback),15,none,none,yes:3.8-synonym:LJ35,unknown,substitute:IA1125,No data,,,business_jet,none,IA1125,yes,130,TFE731-40AR-200G,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Gulfstream G150
PA34,no_dynamics(A320 fallback),15,none,none,yes:3.8-model,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Piper PA-34-220T
C82R,no_dynamics(A320 fallback),14,none,none,yes:3.8-synonym:TRIN,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Cessna R182 Skylane RG
AA5,no_dynamics(A320 fallback),14,none,none,yes:3.8-synonym:P28A,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Grumman American AA-5 Cheetah
C340,no_dynamics(A320 fallback),14,none,none,yes:3.8-synonym:PA31,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Cessna 340A
TBM7,no_dynamics(A320 fallback),14,none,none,yes:3.8-synonym:PAY3,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,,,,Socata TBM-700
SW4,no_dynamics(A320 fallback),12,none,none,yes:3.8-model,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,,,,Swearingen SA227-AC Metro III
PA32,no_dynamics(A320 fallback),12,none,none,yes:3.8-synonym:TRIN,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Piper PA-32-301T Turbo Saratog
PA44,no_dynamics(A320 fallback),12,none,none,yes:3.8-synonym:TRIN,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Piper PA-44-180 Seminole
C414,no_dynamics(A320 fallback),12,none,none,yes:3.8-synonym:PA31,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Cessna 414A
SR20,no_dynamics(A320 fallback),12,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Cirrus SR20
FA8X,no_dynamics(A320 fallback),11,none,none,unknown,unknown,none,,,,business_jet,none,,no,,,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Dassault Falcon 8X
C82S,no_dynamics(A320 fallback),10,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
BE33,no_dynamics(A320 fallback),10,none,none,yes:3.8-synonym:TRIN,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Beech 33 Bonanza
T206,no_dynamics(A320 fallback),10,none,none,unknown,unknown,native:CNA20T,,,ANP native = reading of ANP description,piston_ga,none,,no,,,,
DA62,no_dynamics(A320 fallback),9,none,none,unknown,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
B762,openap_2_4_synonym,9,synonym:B763,native,yes:3.8-model,unknown,native:767CF6|767JT9,No data,12PW101 1GE010 1GE012 1GE025 1GE026 1GE027 1GE028 1GE030 1PW026 1PW027 1PW041 1PW042 1PW043 2GE042 2GE043 2GE046 2GE047 2GE054 2GE055,OpenAP drag-polar synonym B762->B752; ANP native = reading of ANP description,airliner,synonym:B763,767CF6|767JT9,yes,135,CF6-80A|CF6-80A2|CF6-80C2B2|CF6-80C2B2F|CF6-80C2B4|CF6-80C2B4F|CF6-80C2B6F|CF6-80C2B7F|JT9D-7R4D|JT9D-7R4E|PW4050|PW4052|PW4056|PW4060|PW4060A,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Boeing B767-200
LJ35,no_dynamics(A320 fallback),8,none,none,yes:3.8-model,unknown,native:LEAR35,No data,1AS001,ANP native = reading of ANP description,business_jet,none,LEAR35,yes,125,TFE731-2-2B|TFE731-2C|TFE731-2C-2B,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Learjet 35
C210,no_dynamics(A320 fallback),7,none,none,yes:3.8-synonym:TRIN,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,yes,,,,Cessna 210M
P28B,no_dynamics(A320 fallback),7,none,none,yes:3.8-synonym:TRIN,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Piper PA-28-236 Dakota
G200,no_dynamics(A320 fallback),7,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,
TBM8,no_dynamics(A320 fallback),7,none,none,yes:3.8-synonym:BE20,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),turboprop,none,,yes,,,,Socata TBM-850
FA20,no_dynamics(A320 fallback),7,none,none,yes:3.8-model,unknown,native:FAL20,No data,,ANP native = reading of ANP description,business_jet,none,FAL20,yes,110,ATF 3-6-2C|ATF 3-6A-4C|ATF-3-6A-4C|CF700-2D-2|CF700-2D-2-Q|TFE731-5AR-2C|TFE731-5BR-2C,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Dassault Falcon 20
FA10,no_dynamics(A320 fallback),7,none,none,yes:3.8-model,unknown,substitute:LEAR35,No data,,,business_jet,none,LEAR35,yes,110,TFE731-2-1C|TFE731-2C-1C,"ANP substitution table, by aircraft configuration (EASA TCDSN)",Dassault Falcon 10
H64,no_dynamics(A320 fallback),7,none,none,unknown,unknown,none,,,,rotorcraft,none,,yes,,,,
B78X,no_dynamics(A320 fallback),6,none,native,unknown,unknown,none,No data,,"EDB: GEnx-1B / Trent 1000 TEN (APD, rating not given) -> EDB GEnx-1B* family; rating unknown, no UID assigned",airliner,none,,yes,150,GEnx-1B|Trent 1000 TEN,EUROCONTROL APD power plant,Boeing B787-10
COL4,no_dynamics(A320 fallback),6,none,none,yes:3.8-synonym:TRIN,unknown,none,,,ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Cessna 400 Corvalis TT
C30J,no_dynamics(A320 fallback),6,none,none,yes:3.8-synonym:C130,unknown,none,,,,military,none,,yes,,,,Lockheed Martin C-130J
PA24,no_dynamics(A320 fallback),6,none,none,unknown,unknown,none,,,BADA 3.8 (2010) listed it as NOT covered; ANP substitution table excludes light props (MTOW<8618 kg),piston_ga,none,,no,,,,Piper PA-24 Comanche
